,dateSold,propertyType,lotAreaValue,address,imgSrc,price,bedrooms,longitude,latitude,listingStatus,zpid,contingentListingType,daysOnZillow,bathrooms,livingArea,country,currency,lotAreaUnit,hasImage,listingSubType.is_FSBA,listingSubType.is_openHouse,unit,newConstructionType,listingSubType.is_newHome
27,,SINGLE_FAMILY,2365.308,"126 Fraser Ave, Santa Monica, CA 90405",https://photos.zillowstatic.com/fp/442d49c75daae05f5f485bbcb7a3ba15-p_e.jpg,3250000,2,-118.485825,34.00158,FOR_SALE,20483601,,-1,2,1407,USA,USD,sqft,True,True,,,,
28,,SINGLE_FAMILY,5649.732,"1024 Palisades Beach Rd, Santa Monica, CA 90403",https://photos.zillowstatic.com/fp/af28a1e70b735562e42067c6b16ba723-p_e.jpg,12995000,7,-118.50455,34.018063,FOR_SALE,20485840,,-1,9,7587,USA,USD,sqft,True,True,,,,
29,,SINGLE_FAMILY,3959.604,"2606 Highland Ave, Santa Monica, CA 90405",https://photos.zillowstatic.com/fp/609a3e6f99a8181ea197d167152f8ba9-p_e.jpg,5495000,3,-118.47858,34.005363,FOR_SALE,20482637,,-1,3,3900,USA,USD,sqft,True,True,,,,
30,,SINGLE_FAMILY,8733.0,"734 25th St, Santa Monica, CA 90402",https://photos.zillowstatic.com/fp/a5bf4686a2d8a54c24a1ecb871ac57e9-p_e.jpg,6950000,5,-118.48544,34.041042,FOR_SALE,20475980,,-1,8,5828,USA,USD,sqft,True,True,True,,,
31,,SINGLE_FAMILY,9029.988,"837 Berkeley St, Santa Monica, CA 90403",https://photos.zillowstatic.com/fp/72f72bf9402a945fc81a916db619b8aa-p_e.jpg,11650000,5,-118.47872,34.04432,FOR_SALE,20469311,,-1,8,7400,USA,USD,sqft,True,True,,,,
32,,SINGLE_FAMILY,6744.0,"2234 23rd St, Santa Monica, CA 90405",https://photos.zillowstatic.com/fp/ca1e84f8e1e88160d0b7647b86971ce3-p_e.jpg,2399000,3,-118.46574,34.019592,FOR_SALE,20472946,,-1,3,2003,USA,USD,sqft,True,True,True,,,
33,,SINGLE_FAMILY,9007.0,"1136 Franklin St, Santa Monica, CA 90403",https://photos.zillowstatic.com/fp/b53f1c651fced85be5dd87c006478206-p_e.jpg,3400000,3,-118.47356,34.041355,FOR_SALE,20469422,,-1,4,2397,USA,USD,sqft,True,True,,,,
34,,SINGLE_FAMILY,5505.984,"1626 Berkeley St, Santa Monica, CA 90404",https://photos.zillowstatic.com/fp/db6f3a98e090fe9a8e851b404cab701e-p_e.jpg,3599999,5,-118.46586,34.03387,FOR_SALE,20470978,,-1,7,3571,USA,USD,sqft,True,,True,,BUILDER_SPEC,True
35,,SINGLE_FAMILY,7496.676,"511 Marine St, Santa Monica, CA 90405",https://photos.zillowstatic.com/fp/26a646dc9c32f34fab6594b84352c36a-p_e.jpg,2649000,2,-118.47621,34.000786,FOR_SALE,20483103,,-1,3,884,USA,USD,sqft,True,True,,,,
36,,SINGLE_FAMILY,7009.0,"1419 Pacific St, Santa Monica, CA 90405",https://photos.zillowstatic.com/fp/10df3b01fcbe5fe0eb711e596827a949-p_e.jpg,2220000,3,-118.47334,34.01468,FOR_SALE,20480822,,-1,2,1317,USA,USD,sqft,True,True,True,,,
37,,SINGLE_FAMILY,7479.252,"521 Marine St, Santa Monica, CA 90405",https://photos.zillowstatic.com/fp/55c5b5a7ddd1b99e9467ae3092183f5c-p_e.jpg,4985000,4,-118.47596,34.000965,FOR_SALE,20483101,,-1,5,4000,USA,USD,sqft,True,True,,,,
38,,SINGLE_FAMILY,0.279,"212 20th St, Santa Monica, CA 90402",https://photos.zillowstatic.com/fp/0f9ebcec3c2ee617ba54d238a06efac7-p_e.jpg,6950000,6,-118.49834,34.043476,FOR_SALE,20476680,,-1,6,4000,USA,USD,acres,True,True,,,,
39,,SINGLE_FAMILY,7491.0,"1415 6th St, Santa Monica, CA 90401",https://photos.zillowstatic.com/fp/52195fc5f4f1ed96ec49375c10cc6dc5-p_e.jpg,11500000,3,-118.49261,34.017845,FOR_SALE,2086759123,,-1,4,15364,USA,USD,sqft,True,True,,,,
